version: 2
type: collection
name: Colosseum_Enemies
consistent_sprite_size: true
enable_borders: false
use_sprite_name: true
sprites: 150
	Colosseum_Enemies_unnamed_0.png
gald_worm_walk04	Colosseum_Enemies_gald_worm_walk04.png
galdator_shield_turn	Colosseum_Enemies_galdator_shield_turn.png
glad_shield_death_claw	Colosseum_Enemies_glad_shield_death_claw.png
glad_shield_death_shield	Colosseum_Enemies_glad_shield_death_shield.png
glad_shield_death00	Colosseum_Enemies_glad_shield_death00.png
glad_shield_death01	Colosseum_Enemies_glad_shield_death01.png
glad_shield_death02	Colosseum_Enemies_glad_shield_death02.png
glad_shield_death03	Colosseum_Enemies_glad_shield_death03.png
glad_shield_death04	Colosseum_Enemies_glad_shield_death04.png
glad_shield_death05	Colosseum_Enemies_glad_shield_death05.png
glad_shield_idle_to_shield00	Colosseum_Enemies_glad_shield_idle_to_shield00.png
glad_shield_idle_to_shield01	Colosseum_Enemies_glad_shield_idle_to_shield01.png
glad_shield_idle00	Colosseum_Enemies_glad_shield_idle00.png
glad_shield_idle01	Colosseum_Enemies_glad_shield_idle01.png
glad_shield_idle02	Colosseum_Enemies_glad_shield_idle02.png
glad_shield_idle03	Colosseum_Enemies_glad_shield_idle03.png
glad_shield_shield_front_idle00	Colosseum_Enemies_glad_shield_shield_front_idle00.png
glad_shield_shield_front_idle01	Colosseum_Enemies_glad_shield_shield_front_idle01.png
glad_shield_shield_front_idle02	Colosseum_Enemies_glad_shield_shield_front_idle02.png
glad_shield_shield_front_idle03	Colosseum_Enemies_glad_shield_shield_front_idle03.png
glad_shield_shield_front_impact00	Colosseum_Enemies_glad_shield_shield_front_impact00.png
glad_shield_shield_front_impact01	Colosseum_Enemies_glad_shield_shield_front_impact01.png
glad_shield_shield_transition	Colosseum_Enemies_glad_shield_shield_transition.png
glad_shield_shield_up_idle00	Colosseum_Enemies_glad_shield_shield_up_idle00.png
glad_shield_shield_up_idle01	Colosseum_Enemies_glad_shield_shield_up_idle01.png
glad_shield_shield_up_idle02	Colosseum_Enemies_glad_shield_shield_up_idle02.png
glad_shield_shield_up_idle03	Colosseum_Enemies_glad_shield_shield_up_idle03.png
glad_shield_shield_up_impact00	Colosseum_Enemies_glad_shield_shield_up_impact00.png
glad_shield_shield_up_impact01	Colosseum_Enemies_glad_shield_shield_up_impact01.png
glad_shield_slashes_lunge	Colosseum_Enemies_glad_shield_slashes_lunge.png
glad_shield_slashes00	Colosseum_Enemies_glad_shield_slashes00.png
glad_shield_slashes01	Colosseum_Enemies_glad_shield_slashes01.png
glad_shield_slashes02	Colosseum_Enemies_glad_shield_slashes02.png
glad_shield_slashes03	Colosseum_Enemies_glad_shield_slashes03.png
glad_shield_slashes04	Colosseum_Enemies_glad_shield_slashes04.png
glad_shield_slashes05	Colosseum_Enemies_glad_shield_slashes05.png
glad_shield_slashes07	Colosseum_Enemies_glad_shield_slashes07.png
glad_shield_slashes08	Colosseum_Enemies_glad_shield_slashes08.png
glad_shield_slashes09	Colosseum_Enemies_glad_shield_slashes09.png
glad_shield_slashes10	Colosseum_Enemies_glad_shield_slashes10.png
glad_shield_slashes11	Colosseum_Enemies_glad_shield_slashes11.png
glad_shield_walk00	Colosseum_Enemies_glad_shield_walk00.png
glad_shield_walk01	Colosseum_Enemies_glad_shield_walk01.png
glad_shield_walk02	Colosseum_Enemies_glad_shield_walk02.png
glad_shield_walk03	Colosseum_Enemies_glad_shield_walk03.png
glad_shield_walk04	Colosseum_Enemies_glad_shield_walk04.png
glad_shield_walk05	Colosseum_Enemies_glad_shield_walk05.png
glad_shield_walk06	Colosseum_Enemies_glad_shield_walk06.png
glad_shield_walk07	Colosseum_Enemies_glad_shield_walk07.png
mega_roller00	Colosseum_Enemies_mega_roller00.png
mega_roller01	Colosseum_Enemies_mega_roller01.png
mega_roller02	Colosseum_Enemies_mega_roller02.png
mega_roller03	Colosseum_Enemies_mega_roller03.png
mega_roller04	Colosseum_Enemies_mega_roller04.png
mega_roller05	Colosseum_Enemies_mega_roller05.png
mega_roller06	Colosseum_Enemies_mega_roller06.png
mega_roller07	Colosseum_Enemies_mega_roller07.png
mega_roller08	Colosseum_Enemies_mega_roller08.png
mega_roller09	Colosseum_Enemies_mega_roller09.png
mega_roller10	Colosseum_Enemies_mega_roller10.png
worm_death_claw	Colosseum_Enemies_worm_death_claw.png
