version: 2
type: collection
name: Sheo Boss Cln
consistent_sprite_size: true
enable_borders: false
use_sprite_name: true
sprites: 131
3_paint_antic	Sheo Boss Cln_3_paint_antic.png
paint_loop0003	Sheo Boss Cln_paint_loop0003.png
paint_loop0004	Sheo Boss Cln_paint_loop0004.png
paint_loop0005	Sheo Boss Cln_paint_loop0005.png
paint_loop0006	Sheo Boss Cln_paint_loop0006.png
paint_loop0007	Sheo Boss Cln_paint_loop0007.png
paint_slash0004	Sheo Boss Cln_paint_slash0004.png
paint_slash0005	Sheo Boss Cln_paint_slash0005.png
paint_slash0006	Sheo Boss Cln_paint_slash0006.png
paint_slash0007	Sheo Boss Cln_paint_slash0007.png
paint_slash0008	Sheo Boss Cln_paint_slash0008.png
paint_slash0009	Sheo Boss Cln_paint_slash0009.png
paint_slash0010	Sheo Boss Cln_paint_slash0010.png
paint_slash0011	Sheo Boss Cln_paint_slash0011.png
paint_slash0012	Sheo Boss Cln_paint_slash0012.png
paint_slash0013	Sheo Boss Cln_paint_slash0013.png
paint_slash0014	Sheo Boss Cln_paint_slash0014.png
paint_stab_antic0000	Sheo Boss Cln_paint_stab_antic0000.png
paint_stab_antic0001	Sheo Boss Cln_paint_stab_antic0001.png
paint_stab_antic0002	Sheo Boss Cln_paint_stab_antic0002.png
paint_stab_antic0003	Sheo Boss Cln_paint_stab_antic0003.png
paint_stab_attack0000	Sheo Boss Cln_paint_stab_attack0000.png
paint_stab_attack0001	Sheo Boss Cln_paint_stab_attack0001.png
paint_stab_attack0002	Sheo Boss Cln_paint_stab_attack0002.png
paint_stab_attack0003	Sheo Boss Cln_paint_stab_attack0003.png
paint_stab_attack0004	Sheo Boss Cln_paint_stab_attack0004.png
paint_stab_attack0005	Sheo Boss Cln_paint_stab_attack0005.png
paint_stab_effect0000	Sheo Boss Cln_paint_stab_effect0000.png
paint_stab_effect0001	Sheo Boss Cln_paint_stab_effect0001.png
paint_stab_effect0002	Sheo Boss Cln_paint_stab_effect0002.png
paint_stab_effect0003	Sheo Boss Cln_paint_stab_effect0003.png
paint_stab_effect0004	Sheo Boss Cln_paint_stab_effect0004.png
paint_stab_effect0005	Sheo Boss Cln_paint_stab_effect0005.png
paint_to_talk0000	Sheo Boss Cln_paint_to_talk0000.png
paint_to_talk0001	Sheo Boss Cln_paint_to_talk0001.png
paint_to_talk0002	Sheo Boss Cln_paint_to_talk0002.png
paint_to_talk0003	Sheo Boss Cln_paint_to_talk0003.png
paint_to_talk0004	Sheo Boss Cln_paint_to_talk0004.png
roar0000	Sheo Boss Cln_roar0000.png
roar0001	Sheo Boss Cln_roar0001.png
roar0002	Sheo Boss Cln_roar0002.png
roar0003	Sheo Boss Cln_roar0003.png
roar0004	Sheo Boss Cln_roar0004.png
turn0000	Sheo Boss Cln_turn0000.png
turn0001	Sheo Boss Cln_turn0001.png
wound0000	Sheo Boss Cln_wound0000.png
wound0001	Sheo Boss Cln_wound0001.png
wound0004	Sheo Boss Cln_wound0004.png
wound0005	Sheo Boss Cln_wound0005.png
wound0006	Sheo Boss Cln_wound0006.png
wound0007	Sheo Boss Cln_wound0007.png
wound0008	Sheo Boss Cln_wound0008.png
wound0009	Sheo Boss Cln_wound0009.png
wound0010	Sheo Boss Cln_wound0010.png
