version: 2
type: collection
name: Hornet Boss Cln
consistent_sprite_size: true
enable_borders: false
use_sprite_name: true
sprites: 293
air_dash_effects0000	Hornet Boss Cln_air_dash_effects0000.png
barb_thread_throw0001	Hornet Boss Cln_barb_thread_throw0001.png
barb_thread_throw0002	Hornet Boss Cln_barb_thread_throw0002.png
barb_thread_throw0003	Hornet Boss Cln_barb_thread_throw0003.png
barb_thread_throw0004	Hornet Boss Cln_barb_thread_throw0004.png
barb_thread_throw0005	Hornet Boss Cln_barb_thread_throw0005.png
barb_thread_throw0006	Hornet Boss Cln_barb_thread_throw0006.png
barb_thread_throw0007	Hornet Boss Cln_barb_thread_throw0007.png
barb_thread_throw0008	Hornet Boss Cln_barb_thread_throw0008.png
barb_thread_throw0009	Hornet Boss Cln_barb_thread_throw0009.png
barb_thread_throw0010	Hornet Boss Cln_barb_thread_throw0010.png
barb_thread_throw0011	Hornet Boss Cln_barb_thread_throw0011.png
barb_thread_throw0012	Hornet Boss Cln_barb_thread_throw0012.png
barb_thread0000	Hornet Boss Cln_barb_thread0000.png
barb_thread0001	Hornet Boss Cln_barb_thread0001.png
barb_thread0002	Hornet Boss Cln_barb_thread0002.png
barb_thread0003	Hornet Boss Cln_barb_thread0003.png
barb_thread0004	Hornet Boss Cln_barb_thread0004.png
barb_thread0005	Hornet Boss Cln_barb_thread0005.png
barb_thread0006	Hornet Boss Cln_barb_thread0006.png
barb_thread0007	Hornet Boss Cln_barb_thread0007.png
barb_thread0008	Hornet Boss Cln_barb_thread0008.png
barb_thread0009	Hornet Boss Cln_barb_thread0009.png
barb_thread0010	Hornet Boss Cln_barb_thread0010.png
barb_thread0011	Hornet Boss Cln_barb_thread0011.png
barb_thread0012	Hornet Boss Cln_barb_thread0012.png
barb_thread0013	Hornet Boss Cln_barb_thread0013.png
barb_thread0014	Hornet Boss Cln_barb_thread0014.png
barb_thread0015	Hornet Boss Cln_barb_thread0015.png
barb_thread0016	Hornet Boss Cln_barb_thread0016.png
evade0000	Hornet Boss Cln_evade0000.png
evade0001	Hornet Boss Cln_evade0001.png
evade0002	Hornet Boss Cln_evade0002.png
evade0003	Hornet Boss Cln_evade0003.png
evade0004	Hornet Boss Cln_evade0004.png
evade0005	Hornet Boss Cln_evade0005.png
ground_dash_effect0000	Hornet Boss Cln_ground_dash_effect0000.png
ground_dash_effect0001	Hornet Boss Cln_ground_dash_effect0001.png
ground_dash_effect0002	Hornet Boss Cln_ground_dash_effect0002.png
ground_dash_effect0003	Hornet Boss Cln_ground_dash_effect0003.png
ground_dash_effect0004	Hornet Boss Cln_ground_dash_effect0004.png
ground_dash_effect0005	Hornet Boss Cln_ground_dash_effect0005.png
hard_land0000	Hornet Boss Cln_hard_land0000.png
hard_land0001	Hornet Boss Cln_hard_land0001.png
hard_land0002	Hornet Boss Cln_hard_land0002.png
hard_land0003	Hornet Boss Cln_hard_land0003.png
hard_land0004	Hornet Boss Cln_hard_land0004.png
hard_land0005	Hornet Boss Cln_hard_land0005.png
harpoon_side0000	Hornet Boss Cln_harpoon_side0000.png
harpoon_side0001	Hornet Boss Cln_harpoon_side0001.png
harpoon_thread_v020000	Hornet Boss Cln_harpoon_thread_v020000.png
harpoon_thread_v020001	Hornet Boss Cln_harpoon_thread_v020001.png
harpoon_thread_v020002	Hornet Boss Cln_harpoon_thread_v020002.png
harpoon_thread_v020003	Hornet Boss Cln_harpoon_thread_v020003.png
harpoon_thread_v020004	Hornet Boss Cln_harpoon_thread_v020004.png
harpoon_thread_v020005	Hornet Boss Cln_harpoon_thread_v020005.png
harpoon_thread_v020006	Hornet Boss Cln_harpoon_thread_v020006.png
harpoon_thread_v020007	Hornet Boss Cln_harpoon_thread_v020007.png
harpoon_thread_v020008	Hornet Boss Cln_harpoon_thread_v020008.png
harpoon_up0000	Hornet Boss Cln_harpoon_up0000.png
harpoon_up0001	Hornet Boss Cln_harpoon_up0001.png
hornet_dash0000	Hornet Boss Cln_hornet_dash0000.png
hornet_dash0000 1	Hornet Boss Cln_hornet_dash0000 1.png
hornet_dash0001	Hornet Boss Cln_hornet_dash0001.png
hornet_dash0001 1	Hornet Boss Cln_hornet_dash0001 1.png
hornet_dash0002	Hornet Boss Cln_hornet_dash0002.png
hornet_dash0002 1	Hornet Boss Cln_hornet_dash0002 1.png
hornet_dash0003	Hornet Boss Cln_hornet_dash0003.png
hornet_dash0003 1	Hornet Boss Cln_hornet_dash0003 1.png
hornet_dash0004	Hornet Boss Cln_hornet_dash0004.png
hornet_dash0004 1	Hornet Boss Cln_hornet_dash0004 1.png
hornet_dash0005	Hornet Boss Cln_hornet_dash0005.png
hornet_dash0005 1	Hornet Boss Cln_hornet_dash0005 1.png
hornet_dash0006	Hornet Boss Cln_hornet_dash0006.png
hornet_dash0007	Hornet Boss Cln_hornet_dash0007.png
hornet_dash0008	Hornet Boss Cln_hornet_dash0008.png
hornet_dash0009	Hornet Boss Cln_hornet_dash0009.png
hornet_dash0010	Hornet Boss Cln_hornet_dash0010.png
hornet_dash0011	Hornet Boss Cln_hornet_dash0011.png
hornet_dash0012	Hornet Boss Cln_hornet_dash0012.png
hornet_dash0013	Hornet Boss Cln_hornet_dash0013.png
hornet_dash0014	Hornet Boss Cln_hornet_dash0014.png
hornet_flash_effect0000	Hornet Boss Cln_hornet_flash_effect0000.png
hornet_flash_effect0001	Hornet Boss Cln_hornet_flash_effect0001.png
hornet_flash_effect0002	Hornet Boss Cln_hornet_flash_effect0002.png
hornet_flash_effect0003	Hornet Boss Cln_hornet_flash_effect0003.png
hornet_flourish000	Hornet Boss Cln_hornet_flourish000.png
hornet_flourish001	Hornet Boss Cln_hornet_flourish001.png
hornet_flourish002	Hornet Boss Cln_hornet_flourish002.png
hornet_flourish003	Hornet Boss Cln_hornet_flourish003.png
hornet_flourish004	Hornet Boss Cln_hornet_flourish004.png
hornet_flourish005	Hornet Boss Cln_hornet_flourish005.png
hornet_flourish006	Hornet Boss Cln_hornet_flourish006.png
hornet_flourish007	Hornet Boss Cln_hornet_flourish007.png
hornet_flourish008	Hornet Boss Cln_hornet_flourish008.png
hornet_flourish009	Hornet Boss Cln_hornet_flourish009.png
hornet_flourish010	Hornet Boss Cln_hornet_flourish010.png
hornet_flourish011	Hornet Boss Cln_hornet_flourish011.png
hornet_flourish012	Hornet Boss Cln_hornet_flourish012.png
hornet_flourish013	Hornet Boss Cln_hornet_flourish013.png
hornet_throw0001	Hornet Boss Cln_hornet_throw0001.png
hornet_throw0002	Hornet Boss Cln_hornet_throw0002.png
hornet_throw0003	Hornet Boss Cln_hornet_throw0003.png
hornet_throw0004	Hornet Boss Cln_hornet_throw0004.png
hornet_throw0005	Hornet Boss Cln_hornet_throw0005.png
hornet_throw0006	Hornet Boss Cln_hornet_throw0006.png
hornet_throw0007	Hornet Boss Cln_hornet_throw0007.png
hornet_throw0008	Hornet Boss Cln_hornet_throw0008.png
hornet_throw0009	Hornet Boss Cln_hornet_throw0009.png
hornet_throw0010	Hornet Boss Cln_hornet_throw0010.png
hornet_throw0011	Hornet Boss Cln_hornet_throw0011.png
hornet_throw0012	Hornet Boss Cln_hornet_throw0012.png
hornet_throw0013	Hornet Boss Cln_hornet_throw0013.png
hornet_throw0014	Hornet Boss Cln_hornet_throw0014.png
hornet_throw0015	Hornet Boss Cln_hornet_throw0015.png
hornet_throw0016	Hornet Boss Cln_hornet_throw0016.png
hornet_throw0017	Hornet Boss Cln_hornet_throw0017.png
hornet_throw0018	Hornet Boss Cln_hornet_throw0018.png
hornet_throw0019	Hornet Boss Cln_hornet_throw0019.png
hornet_throw0020	Hornet Boss Cln_hornet_throw0020.png
idle_to_point0000	Hornet Boss Cln_idle_to_point0000.png
idle_to_point0001	Hornet Boss Cln_idle_to_point0001.png
idle_to_point0002	Hornet Boss Cln_idle_to_point0002.png
idle_to_point0003	Hornet Boss Cln_idle_to_point0003.png
idle_to_point0004	Hornet Boss Cln_idle_to_point0004.png
idle_to_point0005	Hornet Boss Cln_idle_to_point0005.png
idle_to_point0006	Hornet Boss Cln_idle_to_point0006.png
idle_to_point0007	Hornet Boss Cln_idle_to_point0007.png
idle0000	Hornet Boss Cln_idle0000.png
idle0001	Hornet Boss Cln_idle0001.png
idle0002	Hornet Boss Cln_idle0002.png
idle0003	Hornet Boss Cln_idle0003.png
idle0004	Hornet Boss Cln_idle0004.png
idle0005	Hornet Boss Cln_idle0005.png
jump0000	Hornet Boss Cln_jump0000.png
jump0001	Hornet Boss Cln_jump0001.png
jump0002	Hornet Boss Cln_jump0002.png
jump0003	Hornet Boss Cln_jump0003.png
jump0004	Hornet Boss Cln_jump0004.png
jump0005	Hornet Boss Cln_jump0005.png
jump0006	Hornet Boss Cln_jump0006.png
jump0007	Hornet Boss Cln_jump0007.png
jump0008	Hornet Boss Cln_jump0008.png
jump0009	Hornet Boss Cln_jump0009.png
needle_projectile0000	Hornet Boss Cln_needle_projectile0000.png
needle_projectile0001	Hornet Boss Cln_needle_projectile0001.png
needle_projectile0002	Hornet Boss Cln_needle_projectile0002.png
needle_thread0000	Hornet Boss Cln_needle_thread0000.png
needle_thread0001	Hornet Boss Cln_needle_thread0001.png
needle_thread0002	Hornet Boss Cln_needle_thread0002.png
needle_thread0003	Hornet Boss Cln_needle_thread0003.png
needle_thread0004	Hornet Boss Cln_needle_thread0004.png
needle_thread0005	Hornet Boss Cln_needle_thread0005.png
run0000	Hornet Boss Cln_run0000.png
run0001	Hornet Boss Cln_run0001.png
run0002	Hornet Boss Cln_run0002.png
run0003	Hornet Boss Cln_run0003.png
run0004	Hornet Boss Cln_run0004.png
run0005	Hornet Boss Cln_run0005.png
run0006	Hornet Boss Cln_run0006.png
run0007	Hornet Boss Cln_run0007.png
soft_land0000	Hornet Boss Cln_soft_land0000.png
soft_land0001	Hornet Boss Cln_soft_land0001.png
soft_land0002	Hornet Boss Cln_soft_land0002.png
stun_air0000	Hornet Boss Cln_stun_air0000.png
stun_air0001	Hornet Boss Cln_stun_air0001.png
stun_air0002	Hornet Boss Cln_stun_air0002.png
stun_air0003	Hornet Boss Cln_stun_air0003.png
stun_air0004	Hornet Boss Cln_stun_air0004.png
stun_air0005	Hornet Boss Cln_stun_air0005.png
stun_ground0000	Hornet Boss Cln_stun_ground0000.png
stun_ground0001	Hornet Boss Cln_stun_ground0001.png
stun_ground0002	Hornet Boss Cln_stun_ground0002.png
stun_ground0003	Hornet Boss Cln_stun_ground0003.png
stun_ground0004	Hornet Boss Cln_stun_ground0004.png
stun_ground0005	Hornet Boss Cln_stun_ground0005.png
thread_sphere_effect0000	Hornet Boss Cln_thread_sphere_effect0000.png
thread_sphere_effect0001	Hornet Boss Cln_thread_sphere_effect0001.png
thread_sphere_effect0002	Hornet Boss Cln_thread_sphere_effect0002.png
thread_sphere_effect0003	Hornet Boss Cln_thread_sphere_effect0003.png
thread_sphere_effect0004	Hornet Boss Cln_thread_sphere_effect0004.png
thread_sphere_effect0005	Hornet Boss Cln_thread_sphere_effect0005.png
thread_sphere_effect0006	Hornet Boss Cln_thread_sphere_effect0006.png
thread_sphere_effect0007	Hornet Boss Cln_thread_sphere_effect0007.png
thread_sphere_effect0008	Hornet Boss Cln_thread_sphere_effect0008.png
throw_effect0000	Hornet Boss Cln_throw_effect0000.png
throw_effect0001	Hornet Boss Cln_throw_effect0001.png
throw_effect0002	Hornet Boss Cln_throw_effect0002.png
throw_side0000	Hornet Boss Cln_throw_side0000.png
throw_side0001	Hornet Boss Cln_throw_side0001.png
throw_side0002	Hornet Boss Cln_throw_side0002.png
throw_side0003	Hornet Boss Cln_throw_side0003.png
throw_side0004	Hornet Boss Cln_throw_side0004.png
throw_side0005	Hornet Boss Cln_throw_side0005.png
throw_side0006	Hornet Boss Cln_throw_side0006.png
throw_side0007	Hornet Boss Cln_throw_side0007.png
throw_side0008	Hornet Boss Cln_throw_side0008.png
throw_up0000	Hornet Boss Cln_throw_up0000.png
throw_up0001	Hornet Boss Cln_throw_up0001.png
throw_up0002	Hornet Boss Cln_throw_up0002.png
throw_up0003	Hornet Boss Cln_throw_up0003.png
throw_up0004	Hornet Boss Cln_throw_up0004.png
throw_up0005	Hornet Boss Cln_throw_up0005.png
throw_up0006	Hornet Boss Cln_throw_up0006.png
throw_up0007	Hornet Boss Cln_throw_up0007.png
throw_up0008	Hornet Boss Cln_throw_up0008.png
to_idle0000	Hornet Boss Cln_to_idle0000.png
to_idle0001	Hornet Boss Cln_to_idle0001.png
to_idle0002	Hornet Boss Cln_to_idle0002.png
to_run0000	Hornet Boss Cln_to_run0000.png
to_run0001	Hornet Boss Cln_to_run0001.png
to_run0002	Hornet Boss Cln_to_run0002.png
to_run0003	Hornet Boss Cln_to_run0003.png
to_run0004	Hornet Boss Cln_to_run0004.png
to_run0005	Hornet Boss Cln_to_run0005.png
turn0000	Hornet Boss Cln_turn0000.png
turn0001	Hornet Boss Cln_turn0001.png
turn0002	Hornet Boss Cln_turn0002.png
wall_impact0000	Hornet Boss Cln_wall_impact0000.png
wall_impact0001	Hornet Boss Cln_wall_impact0001.png
wall_impact0002	Hornet Boss Cln_wall_impact0002.png
wall_impact0003	Hornet Boss Cln_wall_impact0003.png
weak_idle0000	Hornet Boss Cln_weak_idle0000.png
weak_idle0001	Hornet Boss Cln_weak_idle0001.png
weak_idle0002	Hornet Boss Cln_weak_idle0002.png
weak_idle0003	Hornet Boss Cln_weak_idle0003.png
weak_idle0004	Hornet Boss Cln_weak_idle0004.png
weak_idle0005	Hornet Boss Cln_weak_idle0005.png
